N°,Pregunta cuestionario,Categoría,Dificultad,Razón de la puntuación
522,"Si describieras mi alma con un color, ¿cuál sería y por qué?",Profundas/Románticas,3,Intuición y percepción extrasensorial de la pareja.
523,"Si pudiéramos fusionarnos en una persona, ¿cómo sería?",Hipotéticas/Imaginativas,3,Síntesis total de personalidades.
524,"¿Qué error repetimos que ya es nuestro ""clásico""?",Nostálgicas,1,Patrones recurrentes evidentes.
525,El gesto tuyo que me hace sentir completamente seguro/a es...,Profundas/Románticas,1,Impacto de acciones sutiles.
526,El gesto tuyo que me hace sentir completamente excitado/a es...,Nostálgicas,3,Definición emocional profunda.
527,¿Cuál es mi mayor sueño no material que espero cumplir contigo a mi lado?,Profundas/Románticas,2,Aspiraciones compartidas y apoyo.
528,¿Qué primera vez nuestra fue mejor de lo planeado?,Nostálgicas,2,Expectativas superadas.
529,¿Qué canción describe perfectamente cómo me siento por ti en este momento de nuestras vidas?,Profundas/Románticas,2,Conexión emocional con la música.
530,¿Qué malentendido inicial hoy nos causa risa?,Nostálgicas,1,Superación de conflictos tempranos.
531,¿Qué es aquello que nunca me canso de escuchar de ti?,Profundas/Románticas,1,Necesidad de afirmación o palabras específicas.
532,¿Qué tradición ajena adoptamos como propia?,Nostálgicas,2,Apropiación cultural de pareja.
533,¿Qué aspecto de nuestra relación me enorgullece?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
534,¿En qué parte de mi cuerpo me gusta más que me toques?,Intimas/Picantes,1,Preferencias táctiles básicas conocidas.
535,"¿Qué ""señal del universo"" ignoramos al conocernos?",Nostálgicas,3,Reinterpretación del destino.
536,"Si pudiera regalarte una cualidad mía, te daria...",Profundas/Románticas,2,Autoconocimiento y generosidad.
537,¿Qué aroma o perfume mío te excita más?,Intimas/Picantes,1,Atracción olfativa específica.
538,¿Qué canción prohibirías en nuestra historia?,Nostálgicas,1,Asociaciones negativas evidentes.
539,¿Qué canción sería el soundtrack de nuestra noche más salvaje?,Rompehielos/Divertidas,3,"Creatividad, intimidad o apertura emocional y sexual."
540,¿En qué momento del día estoy más receptivo/a a caricias?,Intimas/Picantes,2,Patrones de disponibilidad sensual.
541,¿Qué situación me haría perder el control contigo en público?,Rompehielos/Divertidas,3,"Creatividad, intimidad o apertura emocional y sexual."
542,¿Qué tipo de música prefiero durante la intimidad?,Intimas/Picantes,2,Ambiente sonoro íntimo preferido.
543,¿Qué te pediría hacer si esta fuera nuestra última noche juntos?,Rompehielos/Divertidas,3,"Creatividad, intimidad o apertura emocional y sexual."
544,¿Qué parte de tu cuerpo me gusta acariciar más?,Intimas/Picantes,1,Preferencias de tacto hacia pareja.
545,¿Qué tipo de casa construiríamos en Marte si fuéramos los primeros colonos?,Hipotéticas/Imaginativas,2,Visión de futuro y adaptación creativa.
546,¿Qué parte de nuestro pasado sexual debería repetirse más seguido?,Rompehielos/Divertidas,3,"Creatividad, intimidad o apertura emocional y sexual."
547,¿Qué me pone nervioso/a pero excitado/a a la vez?,Intimas/Picantes,3,Tensión erótica específica compleja.
548,¿Qué manía odias de mi familia?,Rompehielos/Divertidas,3,Crítica social delicada.
549,"Si pudiéramos intercambiar una habilidad por un día, ¿cuál habilidad tuya tomaría yo y cuál mía te daría?",Hipotéticas/Imaginativas,1,Curiosidad y apreciación de talentos.
550,¿Qué haría si descubriera que tú tienes una fantasía con otra pareja?,Rompehielos/Divertidas,3,"Creatividad, intimidad o apertura emocional y sexual."
551,¿Qué posición para dormir juntos prefiero?,Intimas/Picantes,1,Intimidad nocturna de contacto.
552,"¿Qué personaje de libro o película crees que se enamoraría perdidamente de mí (y yo de él/ella, platónicamente)?",Hipotéticas/Imaginativas,2,Análisis de personalidad y arquetipos.
553,¿Qué tipo de caricias me relajan más?,Intimas/Picantes,2,Técnicas de relajación sensual.
554,¿Qué parte de ti me provoca aunque estés vestido/a?,Rompehielos/Divertidas,3,"Creatividad, intimidad o apertura emocional y sexual."
555,¿En qué lugar de la casa me gusta más ser romántico/a?,Intimas/Picantes,2,Geografía doméstica del romance.
556,¿Qué parte de mi cuerpo te pediría que tocaras más (y no siempre lo digo)?,Rompehielos/Divertidas,3,"Creatividad, intimidad o apertura emocional y sexual."
557,¿Qué me excita más: las sorpresas o la anticipación?,Intimas/Picantes,2,Psicología del deseo personal.
558,¿Cuál es mi forma favorita de que me seduzcas sin que sea demasiado obvio?,Intimas/Picantes,2,Aprecio por la sutileza y el juego previo.
559,¿Qué gesto pequeño tuyo me enciende inmediatamente?,Intimas/Picantes,1,Triggers de atracción específicos.
560,"¿Qué apodo cariñoso o ""sucio"" me gusta que uses solo en la intimidad?",Intimas/Picantes,1,Complicidad y lenguaje privado.
561,¿Qué juego íntimo crearía para una noche sin reglas?,Rompehielos/Divertidas,3,"Creatividad, intimidad o apertura emocional y sexual."
562,¿Qué actividad no sexual hacemos que me resulta sensual?,Intimas/Picantes,2,Erotismo en lo cotidiano.
563,"Si tuvieras que planear una noche de fantasía para mí, ¿cuál sería el tema principal?",Intimas/Picantes,3,Conocimiento de deseos ocultos y creatividad erótica.
564,¿Qué tipo de besos prefiero: suaves o intensos?,Intimas/Picantes,1,Preferencias de contacto labial.
565,"¿Qué parte de mi cuerpo considero mi ""arma secreta"" de seducción?",Intimas/Picantes,1,Autoconfianza y percepción corporal.
566,Si tuviera una semana sin tabúes sexuales te diria....,Rompehielos/Divertidas,3,"Creatividad, intimidad o apertura emocional y sexual."
567,El momento en que me siento más vulnerable contigo es ...,Intimas/Picantes,3,Apertura emocional en intimidad.
568,¿Qué virtud tuya envidio silenciosamente?,Profundas/Románticas,2,Admiración no expresada.
569,¿Hay alguna postura o práctica sexual que crees que me da curiosidad pero no me he atrevido a sugerir?,Intimas/Picantes,3,Intuición sobre deseos no expresados.
570,¿Qué disfraz provocador me encantaría que usaras?,Rompehielos/Divertidas,3,"Creatividad, intimidad o apertura emocional y sexual."
571,¿Qué parte de nuestra intimidad me da más confianza?,Intimas/Picantes,2,Seguridad en la conexión física.
572,Un miedo que comparto contigo es...,Profundas/Románticas,3,Solidaridad emocional secreta.
573,¿Qué tipo de masaje me relaja más y me pone en un estado más receptivo?,Intimas/Picantes,2,Conocimiento de preferencias táctiles.
574,¿Qué fantasía sexual me da más curiosidad?,Rompehielos/Divertidas,3,"Creatividad, intimidad o apertura emocional y sexual."
575,¿Qué me gusta más: que me acaricies el cabello o la espalda?,Intimas/Picantes,1,Preferencias específicas de caricias.
576,¿Qué sueño común pospusimos por miedo?,Profundas/Románticas,2,Inseguridades compartidas.
577,¿Qué canción me gustaría bailar contigo de forma muy sensual y privada?,Intimas/Picantes,1,Conexión física y musical.
578,¿Qué parte de mi cuerpo protejo por inseguridad?,Profundas/Románticas,3,Vulnerabilidad física.
579,"Si pudieras describirme con un sabor, ¿cuál sería?",Rompehielos/Divertidas,2,Requiere creatividad y asociar personalidad con sensaciones.
580,¿Qué ritual tenemos antes de la “intimidad”?,Intimas/Picantes,2,Patrones de preparación sensual.
581,Una verdad incomoda que suelo evitar es...,Profundas/Románticas,3,Tabu conversacional.
582,"¿Cuál es el ""tic"" nervioso más evidente que tengo?",Rompehielos/Divertidas,1,Observación de comportamiento.
583,¿Qué gesto de amor reconozco pero no agradezco suficiente?,Profundas/Románticas,1,Descortesía inconsciente.
584,¿Qué me gusta más hacer en la ducha contigo?,Intimas/Picantes,2,Intimidad acuática específica.
585,¿En qué me fijo más cuando me miras con deseo?,Intimas/Picantes,2,Percepción de la mirada erótica.
586,¿Qué versión de mí solo existe contigo?,Profundas/Románticas,3,Identidad relacional exclusiva.
587,"¿Cuál es el ""crimen"" culinario que cometo con más frecuencia (ej: piña en la pizza, ketchup en sitios raros)?",Rompehielos/Divertidas,1,Hábitos alimenticios peculiares.
588,¿Qué tipo de contacto visual prefiero durante la intimidad?,Intimas/Picantes,3,Comunicación no verbal íntima.
589,"¿Qué recuerdo de nuestra ""primera pelea tonta"" me hace sonreír ahora?",Nostálgicas,1,Perspectiva y humor sobre el pasado.
590,¿Qué me excita más de tu personalidad en la intimidad?,Intimas/Picantes,3,Atracción psicológica específica.
591,"¿Cuál fue el primer secreto ""importante"" que te confié?",Nostálgicas,2,Memoria de momentos de vulnerabilidad.
592,¿Qué me gusta susurrarte al oído?,Intimas/Picantes,2,Comunicación íntima específica.
593,¿Cuándo me siento más sexy contigo?,Intimas/Picantes,2,Momentos de máxima confianza sensual.
594,"¿Qué canción que no es ""nuestra canción oficial"" me recuerda poderosamente a nosotros?",Nostálgicas,2,Asociaciones musicales personales.
595,¿En qué lugar público tendría sexo sin pensarlo dos veces?,Rompehielos/Divertidas,3,"Creatividad, intimidad o apertura emocional y sexual."
596,¿Qué actividad compartida me resulta más afrodisíaca?,Intimas/Picantes,3,Actividades que llevan a la intimidad.
597,"Si pudiera escribir una carta a mi ""yo"" del pasado justo antes de conocerte, ¿qué advertencia o consejo le daría sobre nosotros?",Profundas/Románticas,3,Reflexión profunda sobre la relación y autoconocimiento.
598,"¿Cuál es la ""chispa"" que siento que nunca debemos perder como pareja?",Profundas/Románticas,1,Elemento vital de la relación.
599,¿Qué me gusta más que hagas cuando me abrazas?,Intimas/Picantes,1,Técnicas específicas de abrazo.
600,¿En qué situación me has visto más feliz y pleno/a gracias a nuestra relación?,Profundas/Románticas,2,Observación del impacto emocional.
601,¿En qué consiste mi tipo de seducción favorita?,Intimas/Picantes,3,Estrategias personales de conquista.
602,Un tema íntimo que me gustaría tratar contigo y nunca encuentro el momento es....,Rompehielos/Divertidas,3,"Creatividad, intimidad o apertura emocional y sexual."
603,¿Qué sonido hago que más te gusta?,Intimas/Picantes,2,Expresiones vocales íntimas específicas.
604,"Si tuviéramos que sobrevivir a un apocalipsis zombie, ¿cuál sería mi rol principal en nuestro equipo de supervivencia?",Hipotéticas/Imaginativas,1,Autoevaluación de habilidades prácticas o de liderazgo.
605,¿Qué accesorios colecciono sin necesidad real?,Rompehielos/Divertidas,2,Hábitos de compra específicos.
606,¿Qué personaje de ficción crees que sería mi mejor amigo/a y por qué?,Hipotéticas/Imaginativas,2,Análisis de personalidad y afinidades.
607,¿Qué notificación del celular siempre ignoro?,Rompehielos/Divertidas,2,Patrones digitales de evitación.
608,"Si me dieran la oportunidad de diseñar una nueva festividad global, ¿qué celebraría y cómo se llamaría?",Hipotéticas/Imaginativas,3,Creatividad y valores universales.
609,¿Qué tipo de masaje secreto me gustaría que me hicieras en público?,Rompehielos/Divertidas,3,"Creatividad, intimidad o apertura emocional y sexual."
610,¿Qué palabra uso incorrectamente pero nadie me corrige?,Rompehielos/Divertidas,2,Errores lingüísticos persistentes.
611,"¿Qué ""posición"" o dinámica en el juego previo es mi favorita indiscutible?",Intimas/Picantes,2,Conocimiento específico de preferencias.
612,¿Qué parte de tus caricias me vuelve adicto/a?,Rompehielos/Divertidas,3,"Creatividad, intimidad o apertura emocional y sexual."
613,¿Qué hago primero cuando llego a un lugar nuevo?,Rompehielos/Divertidas,2,Patrones de exploración espacial.
614,Una fantasía tuya que secretamente me gustaría que me propusieras es...,Intimas/Picantes,3,Deseos ocultos y anticipación.
615,¿Qué parte de nuestra sexualidad me gustaría reinventar contigo?,Rompehielos/Divertidas,3,"Creatividad, intimidad o apertura emocional y sexual."
616,¿Qué tipo de contenido veo en redes sociales a escondidas?,Rompehielos/Divertidas,3,Consumo digital secreto.
617,"¿Qué tipo de ""ambiente"" (luces, música, olores) me ayuda a entrar más en el mood íntimo?",Intimas/Picantes,1,Preferencias sensoriales conocidas.
618,¿Qué habilidad física he perdido con la edad?,Rompehielos/Divertidas,2,Cambios corporales temporales.
619,¿Qué fantasía pública nunca confesé?,Intimas/Picantes,3,Tabú social.
620,"¿Qué ""sabor"" (literal o metafórico) me gusta más encontrar en tus besos?",Intimas/Picantes,2,Sensibilidad y metáforas íntimas.
621,¿Qué tipo de beso me enciende sin importar dónde estemos?,Rompehielos/Divertidas,3,"Creatividad, intimidad o apertura emocional y sexual."
622,¿Qué tipo de ejercicio odio hacer?,Rompehielos/Divertidas,1,Preferencias de actividad física.
623,¿Qué sonido tuyo excita mi imaginación?,Intimas/Picantes,2,Memoria auditiva sensual.
624,"Si tuviéramos que crear un código secreto para hablar de sexo delante de otros, ¿cuáles serían nuestras palabras clave?",Intimas/Picantes,2,Complicidad y humor.
625,¿Qué prohibición cultural desafiaríamos?,Intimas/Picantes,3,Transgresión social.
626,"¿Cuál es mi ""límite"" o algo que definitivamente no me gustaría probar en la intimidad?",Intimas/Picantes,3,Conocimiento de barreras y respeto.
627,¿Qué parte del cuerpo me gustaría tatuarme en tu honor?,Rompehielos/Divertidas,3,"Creatividad, intimidad o apertura emocional y sexual."
628,¿Qué tipo de clima me pone de mejor humor?,Rompehielos/Divertidas,1,Influencia meteorológica emocional.
629,"Si tuvieras que escribir un ""manual de instrucciones"" para hacerme feliz, ¿cuál sería el primer capítulo?",Profundas/Románticas,2,Comprensión profunda de necesidades.
630,¿Qué imagen de ti me hace sonreír aunque esté solo/a?,Rompehielos/Divertidas,3,"Creatividad, intimidad o apertura emocional y sexual."
631,¿Qué actividad me da más pereza los fines de semana?,Rompehielos/Divertidas,1,Resistencias específicas de ocio.
632,"¿Qué ""locura"" por amor he hecho que más te ha sorprendido o divertido?",Nostálgicas,1,Recuerdos de gestos audaces.
633,Algo que cambiaria de nuestra rutina sexual es...,Rompehielos/Divertidas,3,"Creatividad, intimidad o apertura emocional y sexual."
634,¿Qué programa de TV infantil aún me gusta?,Rompehielos/Divertidas,2,Nostalgia específica audiovisual.
635,¿Qué premisa de película porno parodiaríamos?,Intimas/Picantes,3,Humor sexual complejo.
636,¿Qué tipo de zapatos uso más frecuentemente?,Rompehielos/Divertidas,1,Preferencias de calzado habituales.
637,¿Qué momento histórico repetiríamos en la intimidad?,Intimas/Picantes,3,Fantasía contextualizada.
638,¿Qué me gusta comer cuando estoy enfermo/a?,Rompehielos/Divertidas,1,Comida de confort específica.
639,¿Qué habilidad social mía crees que es la más fuerte (o la más débil)?,Profundas/Románticas,1,Observación de interacciones.
640,¿Qué inseguridad superé contigo en la intimidad?,Intimas/Picantes,3,Crecimiento sexual compartido.
641,¿Qué actividad me ayuda más a concentrarme?,Rompehielos/Divertidas,2,Técnicas personales de focus.
642,"¿Qué ""regla no escrita"" de nuestra convivencia es la más importante para mí?",Profundas/Románticas,1,Acuerdos tácitos fundamentales.
643,¿Qué tipo de evento social me agota más?,Rompehielos/Divertidas,2,Límites de energía social.
644,¿Qué límite sorprendente descubriste que tengo?,Intimas/Picantes,3,Exploración de fronteras.
645,¿Cuál es la aventura más ridícula que me gustaría vivir contigo antes de hacernos viejos?,Hipotéticas/Imaginativas,3,Sueños locos y compañerismo.
646,¿Qué objeto de casa nunca uso pero no regalo?,Rompehielos/Divertidas,2,Apego emocional a objetos inútiles.
647,¿Qué es lo más inesperado que he hecho en la cama que te gustó mucho?,Intimas/Picantes,2,Sorpresas y conocimiento de reacciones.
648,¿Qué fetiche me llama la atención pero me da pena admitirlo?,Rompehielos/Divertidas,3,"Creatividad, intimidad o apertura emocional y sexual."
649,¿Qué me gusta hacer para evitar una conversación incómoda?,Rompehielos/Divertidas,3,Estrategias de evasión social.
650,¿Qué tipo de humor me hace reír más fácilmente?,Rompehielos/Divertidas,1,Preferencias de comedia específicas.
651,"Si me obligaran a elegir una sola comida para el resto de mi vida, ¿cuál sería (y cómo la prepararía)?",Rompehielos/Divertidas,1,Preferencia culinaria definitiva.
652,¿Qué fantasía me daría más nervios realizar?,Rompehielos/Divertidas,3,"Creatividad, intimidad o apertura emocional y sexual."
653,¿Qué actividad doméstica disfruto secretamente?,Rompehielos/Divertidas,3,Placeres ocultos del hogar.
654,¿Cuál fue el momento exacto en que supiste que querías una relación seria conmigo?,Nostálgicas,3,Revelación personal importante.
655,¿Qué parte de tu cuerpo me hace fantasear aunque finja no notarlo?,Rompehielos/Divertidas,3,"Creatividad, intimidad o apertura emocional y sexual."
656,¿Qué me pone más ansioso/a: llegar tarde o llegar muy temprano?,Rompehielos/Divertidas,2,Patrones de ansiedad temporal.
657,¿Qué detalle te hizo elegirme?,Nostálgicas,3,Revelación de atracción originaria.
658,¿Qué cosa pequeña hago que secretamente te derrite el corazón?,Profundas/Románticas,1,Gestos sutiles con gran impacto.
